中央亭,chinese,station south,餃子,大手町4丁目4−7,Otemachi 4 Chome-4-7,A,11,0,14,0,-1,-1,-1,-1,138.858291,35.098962
浜忠,japanese,station south,唐揚げ定食,上土町80,Agetsuchicho 80,A,11,30,21,30,15,0,17,0,138.858372,35.098123
華味ファーウェイ,chinese,station south,チャーハン,大手町5丁目4−11,Otemachi 5 Chome-4-11,,11,0,21,30,14,30,17,0,138.858319,35.100026
ねこと白鳥,bar/izakaya,station south,カクテル,大手町５丁目７−5 つるかめ仲見世ビル B1,Otemachi 5 Chome−7−5 Tsurukamenakamise B1,C,17,0,0,0,-1,-1,-1,-1,138.858021,35.100155
やば珈琲店 沼津店,café/bakery,station south,ナポリタン,大手町5丁目8−1,Otemachi 5 Chome-8-1,,7,0,22,0,-1,-1,-1,-1,138.85823,35.101167
ドルセ,café/bakery,station south,ケーキ,大手町3丁目5−1,Otemachi 3 Chome-5-1,B,9,30,18,30,-1,-1,-1,-1,138.859348,35.101066
沼津魚がし鮨 流れ鮨 沼津店,japanese,station south,寿司,大手町１丁目１−6 イーラde 3F,Otemachi 1 Chome−1−6 イーラde 3F,,10,30,21,30,-1,-1,-1,-1,138.858435,35.102214
横浜家系ラーメン 沼津 魂心家,noodle,station south,ラーメン,大手町５丁目２−１８ フェニックスビル 1F,Otemachi 5 Chome−2−18 pheonix 1F,C,11,0,1,0,-1,-1,-1,-1,138.858485,35.10174
COFFEE SAKURA,café/bakery,station south,アイスコーヒー,千本緑町1丁目1,Senbonmidoricho 1 Chome-1,C,11,0,16,0,-1,-1,-1,-1,138.851471,35.093187
Grandma,café/bakery,station south,堕天使ショコラ,上土町63,Agetsuchicho 63,C,10,0,18,30,-1,-1,-1,-1,138.858148,35.097599
富士山高原いでぼく,café/bakery,numazu metropolitan,ミルクソフト,根古屋998-27 tokyo-bound,Negoya 998-27 tokyo-bound,,12,0,17,0,-1,-1,-1,-1,138.805989,35.154666
山正,japanese,station south,日替わりランチ,平町３−14,Hiramachi 3-14,G,11,30,22,30,14,0,17,30,138.865332,35.101305
JAなんすん 沼津みなと新鮮館,café/bakery,numazu port,ソフトアイス,千本港町128-1,Senbonminatocho 128-1,B,9,30,16,30,-1,-1,-1,-1,138.857389,35.083607
マルニ茶業,café/bakery,numazu port,抹茶アイス,千本港町128-1,Senbonminatocho 128-1,,9,0,16,0,-1,-1,-1,-1,138.857448,35.083719
Köln,café/bakery,station south,串カツ定食,大手町４丁目５−14,Otemachi 4 Chome-5-14,G,8,30,16,0,-1,-1,-1,-1,138.858137,35.098737
THE BLUEWATER,western,station south,バーガー,魚町15,Uocho 15,B,11,0,22,0,-1,-1,-1,-1,138.857832,35.095154
花むら,western,station south,とんかつ定食,大手町４丁目６−8,Otemachi 4 Chome-6-8,G,11,30,14,0,-1,-1,-1,-1,138.857872,35.098533
伊豆家,japanese,station south,天丼,仲町20-2,Nakacho 20-2,AB,11,0,18,0,13,0,17,0,138.857499,35.094081
LOTUS SWEETS,café/bakery,station south,バーガー,下河原町488,Shimogawaracho 488,B,11,0,22,0,-1,-1,-1,-1,138.856846,35.09217
Vanzo（伴蔵）,western,station south,パスタ,大手町５丁目６−3,Otemachi 5 Chome-6-3,,11,30,0,0,13,30,17,30,138.857948,35.099756
ボルカノ,western,station south,パスタ,大手町５丁目４−4,Otemachi 5 Chome-4-4,C,11,0,19,0,15,0,17,0,138.858874,35.100187
ワイン食堂ヴィンセント BiVi沼津店,western,station north,ステーキ,大手町１丁目１ 5 1 BiVi 沼津 1F,Otemachi 1 Chome−1 5 1 BiVi 1F,,11,0,0,0,-1,-1,-1,-1,138.860892,35.104093
沼津バーガー,western,numazu port,堕天使オブ,千本港町８３−1,Senbonminatocho 83-1,,9,0,18,0,-1,-1,-1,-1,138.858204,35.083919
幸せの玉子焼 木村屋 ,japanese,numazu port,玉子焼き,千本港町115-4,Senbonminatocho 115-4,B,11,30,15,30,-1,-1,-1,-1,138.858291,35.082269
ベイカーズダズン,western,station south,パスタ,町方町9-1,Machikatamachi 9-1,A,11,0,22,0,14,0,17,30,138.857823,35.098349
アベリー,café/bakery,station south,かき氷,大手町５丁目７−5,Otemachi 5 Chome-7-5,,11,0,17,0,-1,-1,-1,-1,138.858087,35.100131
沼津 Boost,western,station south,ロストポーク,町方町53-2,Machikatamachi 53-2,D,18,0,3,0,-1,-1,-1,-1,138.857125,35.09701
沼津深海プリン工房,café/bakery,numazu port,プリン,千本港町97,Senbonminatocho 97,,10,0,17,30,-1,-1,-1,-1,138.857773,35.083559
桃中軒 沼津駅南口改札横売店,japanese,station south,駅弁,大手町１丁目１−1,Otemachi 1 Chome-1-1,,7,0,19,0,-1,-1,-1,-1,138.859756,35.102649
にし与,japanese,numazu port,アジフライ,千本港町１０９,Senbonminatocho 109,D,6,0,14,50,-1,-1,-1,-1,138.858556,35.083015
大黒屋,café/bakery,station south,今川焼,町方町71,Machikatamachi 71,C,9,30,19,0,-1,-1,-1,-1,138.856823,35.097181
雅心苑 リヴァージュ,café/bakery,ganyudo,みかんデザート,下香貫2885-2,Shimokanuki 2885-2,,10,0,18,0,-1,-1,-1,-1,138.870851,35.075197
はなぱん,café/bakery,ganyudo,朝食パン食べ放題,我入道浜町352-1,Ganyudohamacho 352-1,,7,30,17,0,-1,-1,-1,-1,138.859779,35.078046
かもめ丸,japanese,numazu port,沼津丼,千本港町101 千本一ビル １階中央,Senbonminatocho 101 senbon.bd １F,C,11,0,15,0,-1,-1,-1,-1,138.857832,35.082829
魚河岸丸天 魚河岸店,japanese,numazu port,海鮮かき揚げ丼,千本港町１１４−1,Senbonminatocho 114-1,,7,0,21,30,-1,-1,-1,-1,138.858411,35.082774
丸勘（丸天ではない）,japanese,numazu port,ひもの定食,千本港町128-1,Senbonminatocho 128-1,B,7,30,16,0,-1,-1,-1,-1,138.857467,35.083584
マリー・ルウ,western,station south,オムライス,市場町６−25,Ichibacho 6-25,G,9,0,20,0,-1,-1,-1,-1,138.861803,35.095605
マミィ・ハウス,café/bakery,station south,ドーナツ,大手町５丁目８−1,Otemachi 5 Chome-8-1,G,7,30,18,30,-1,-1,-1,-1,138.858063,35.101196
悪魔の美肌プリン ミルキーウェイ,café/bakery,numazu port,プリン,千本港町117,Senbonminatocho 117,,11,0,15,0,-1,-1,-1,-1,138.857695,35.081885
SUN!SUN! サンシャインCafe,café/bakery,station south,キャラソーダ,大手町３丁目１−1,Otemachi 3 Chome-1-1,,11,0,20,30,-1,-1,-1,-1,138.859691,35.102028
Chuzi's hotdog,western,station south,ホットドッグ,西条町33,Saijocho 33,D,11,30,21,0,-1,-1,-1,-1,138.855071,35.10168
柚子の家（ゆずのや）,western,station south,エスカロップ,添地町２−7 大興ビル 3 階,Soechicho 2−7,A,11,30,20,0,14,0,17,0,138.856729,35.101589
赤から 沼津店,japanese,station north,もつ鍋,米山町１−5,Yoneyamacho 1-5,,11,0,2,0,-1,-1,-1,-1,138.862182,35.105176
欧蘭陀館 下河原店,western,station south,よきそば,下河原町1146-1,Shimogawaracho 1146-1,A,9,0,20,15,-1,-1,-1,-1,138.858035,35.090978
おっこん みやび,japanese,station south,お好み焼き,大手町５丁目３−14,Otemachi 5 Chome-3-14,B,17,0,0,0,-1,-1,-1,-1,138.858318,35.100886
渡辺商店,japanese,station south,ベーコン,真砂町２３−12,Masagocho 23-12,C,6,0,13,0,-1,-1,-1,-1,138.852438,35.09916
菓南,café/bakery,station north,シュークリーム,東椎路926,Higashishiiji 926,B,10,0,19,0,-1,-1,-1,-1,138.834307,35.122254
こがね本店,western,station south,とんかつ定食,大手町５丁目１１−8,Otemachi 5 Chome-11-8,A,11,30,20,0,14,0,17,0,138.857126,35.10085
たこ焼き さぼちゃん,japanese,station south,たこ焼き,大手町５丁目９−1,Otemachi 5 Chome-9-1,,11,30,23,0,-1,-1,-1,-1,138.858287,35.101655
八福,japanese,station south,やきにく,添地町64,Soechicho 64,B,11,0,1,0,15,0,17,0,138.857347,35.101904
冨久家 沼津店,café/bakery,station south,italian ケーキ,御幸町１７−17,Miyukicho 17-17,G,10,0,18,0,-1,-1,-1,-1,138.863465,35.095266
ほさか 大手町本店,café/bakery,station south,和菓子,大手町５丁目２−9,Otemachi 5 Chome-2-9,,10,0,19,0,-1,-1,-1,-1,138.858648,35.101225
火の車,japanese,station south,焼きそば,丸子町748-9,Marukocho 748-9,B,11,0,19,30,14,0,17,0,138.849617,35.10149
アントレ,japanese,station south,みかん,大手町１丁目１−1,Otemachi 1 Chome-1-1,,9,0,19,0,-1,-1,-1,-1,138.859777,35.10276
山岸精肉店,japanese,station south,コロッケ,新町４１０−1,Shincho 410-1,G,8,0,19,0,-1,-1,-1,-1,138.856854,35.094017
さわやか 沼津学園通り店,japanese,station north,ハンバーグ ステーキ ,神田町６−26,Kandacho 6-26,,11,0,22,30,-1,-1,-1,-1,138.86709,35.118088
トニーズホノルル,western,numazu port,ハワイアン,千本港町１２８−3 沼津魚市場INO 魚食館 2F,Senbonminatocho 128-3 INO 2F,,11,0,22,0,-1,-1,-1,-1,138.855607,35.081329
双葉寿司,japanese,numazu port,寿司,千本港町121-8,Senbonminatocho 121-8,B,11,0,20,0,14,0,16,30,138.858092,35.082542
ふみの,japanese,numazu port,海鮮丼,千本港町109 ダイノブセンターＣ棟 1F,Senbonminatocho 109 1F,B,6,0,16,30,-1,-1,-1,-1,138.858394,35.083197
回転寿司 まる石,japanese,station north,寿司,高島本町１−5 イシバシプラザ,Takashimahoncho 1−5 ishibashi plaza,,10,0,20,0,-1,-1,-1,-1,138.857939,35.108014
八屋沼津店,chinese,station south,餃子,大手町５丁目７−12,Otemachi 5 Chome-7-12,G,17,0,0,0,-1,-1,-1,-1,138.857523,35.100161
浜焼きしんちゃん,japanese,numazu port,貝焼き,千本港町83,Senbonminatocho 83,B,11,0,22,0,-1,-1,-1,-1,138.857843,35.08415
はなの舞 BIVI沼津店,bar/izakaya,station north,日本酒,大手町１丁目１３−9 BiVi沼津1F,Otemachi 1 Chome−13−9 BiVi numazu 1F,,15,0,1,0,-1,-1,-1,-1,138.861096,35.103948
とり宇,japanese,station south,うなぎ丼,大手町５丁目２−5,Otemachi 5 Chome-2-5,D,11,0,21,0,-1,-1,-1,-1,138.858973,35.101323
らーめん銕-くろがね-,noodle,station south,ラーメン,大手町５丁目８−2,Otemachi 5 Chome-8-2,E,11,0,15,0,-1,-1,-1,-1,138.858121,35.100979
京丸,japanese,numazu port,うなぎ丼,春日町33-7,Kasugacho 33-7,B,11,0,20,30,15,0,17,0,138.859204,35.084364
珈琲 波无 (コーヒーバン),café/bakery,ganyudo,パフェ,下香貫前原1474-1,Shimokanukimaehara 1474-1,,8,30,22,30,-1,-1,-1,-1,138.872409,35.078468
海鮮丼専門店 伊 助,japanese,numazu port,海鮮丼,千本港町９７,Senbonminatocho 97,,10,0,15,0,-1,-1,-1,-1,138.857916,35.083523
あじや,japanese,numazu port,鯛煮ずけ,千本港町128-1,Senbonminatocho 128-1,B,10,0,15,0,-1,-1,-1,-1,138.857467,35.083782
旅館　浜の家,japanese,uchiura,アジフライ,内浦三津42-3,Uchiuramito 42-3,,11,0,15,0,-1,-1,-1,-1,138.897662,35.020916
白鷺,japanese,station south,やきとり,添地町68,Soechicho 68,G,17,30,22,0,-1,-1,-1,-1,138.857033,35.101599
鮨庵さいとう本店,japanese,numazu port,寿司,春日町47-2,Kasugacho 47-2,D,11,30,21,0,14,0,17,0,138.858735,35.083457
松福 本店,noodle,numazu port,ラーメン,千本港町57-1,Senbonminatocho 57-1,,11,0,0,0,16,0,18,0,138.858286,35.084807
千楽（本店）,japanese,station south,とんかつ定食,下本町20,Shimohoncho 20,BC,11,0,14,30,-1,-1,-1,-1,138.856463,35.09456
桃屋,café/bakery,station south,コロッケサンド,町方町5,Machikatamachi 5,C,9,0,18,0,-1,-1,-1,-1,138.857942,35.098184
うなぎ料理 村上,japanese,station south,うなぎ丼,平町１２−1,Hiramachi 12-1,C,11,30,21,0,14,0,17,30,138.86489,35.100808
ザ パン屋 ブルーベリー,café/bakery,station north,カレーパン,五月町４−20,Satsukicho 4-23,B,8,0,19,0,-1,-1,-1,-1,138.861835,35.115241
萬来軒柳町支店,chinese,station north,中華そば,柳町６−38,Yanagicho 6-38,C,11,0,20,0,-1,-1,-1,-1,138.863438,35.11807
ダイヤコーヒー,café/bakery,station south,コーヒー,出口町339-1,Deguchicho-339-1,ABCDE,9,30,17,0,-1,-1,-1,-1,138.854779,35.094622
蕎麦居酒屋えびす庵,noodle,station south,そば,大手町５丁目４−1,Otemachi 5 Chome-4-1,B,11,0,23,0,-1,-1,-1,-1,138.858934,35.100388
