ゲーマーズ沼津店,アニメショップ,AREA1,善子,添地町72青秀ビル1階,Soechicho 72 1F,,11,0,20,0,-1,-1,-1,-1,138.856823,35.101589
安田屋旅館,旅館,UCHIURA,千歌,内浦三津19,Uchiuramito 19,,12,0,20,0,-1,-1,-1,-1,138.897566,35.020432
松月,カフェ,UCHIURA,花丸,内浦88-36,Uchiura 88-36,BC,10,0,17,0,-1,-1,-1,-1,138.897981,35.022198
SUN!SUN!サンシャインCAFE（雄大フェスタ）,カフェ,AREA1,ダイヤ,大手町3-1-1,Otemachi 3 chome-1-1,,11,0,20,30,-1,-1,-1,-1,138.859688,35.102001
オーシャンビューフジミ,ホテル,NISHIURA,果南,西浦江梨993,Nishiuraenashi 993,,10,30,14,30,-1,-1,-1,-1,138.785859,35.024919
淡島ホテル,ホテル,UCHIURA,鞠莉,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.886772,35.035521
伊豆三津シーパラダイス,海洋テーマパーク,UCHIURA,曜,内浦長浜3-1,Uchiuranagahama 3-1,,9,0,17,0,-1,-1,-1,-1,138.89601,35.019516
三の浦総合案内所,観光案内所,UCHIURA,ルビィ,内浦長浜83-124,Uchiuranagahama 83-124,,9,0,16,0,-1,-1,-1,-1,138.893409,35.017727
千鳥観光汽船㈱,遊覧船,UCHIURA,梨子,内浦三津43-7,Uchiuramito 43-7,,8,0,17,0,-1,-1,-1,-1,138.897769,35.021155
JAなんすん 緑茶館ぬまづ,農産物直売所,AREA3,千歌,下香貫上障子415-1,Shimokanukikamishoji 415-1,FG,9,0,16,0,-1,-1,-1,-1,138.869729,35.083423
あわしまマリンパーク,海洋テーマパーク,UCHIURA,果南,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.893502,35.033091
つじ写真館,写真館,AREA1,善子,上土町36,Agetsuchicho 36,C,9,30,19,0,-1,-1,-1,-1,138.857448,35.096954
JEWELRY＆WATCH 市川,時計店,AREA1,ダイヤ,上土町100-1,Agetsuchicho 100-1,C,10,0,19,30,-1,-1,-1,-1,138.858114,35.096569
浜忠,和食定食店,AREA1,ルビィ,上土町80,Agetsuchicho 80,A,11,30,22,0,15,0,17,0,138.858367,35.098096
旅館　浜の家,旅館,UCHIURA,鞠莉,内浦三津42-3,Uchiuramito 42-3,,11,0,15,0,-1,-1,-1,-1,138.897683,35.020895
マルサン書店,書店,AREA1,花丸,大手町5-3-13,Otemachi 5 chome-3-13,,10,0,19,0,-1,-1,-1,-1,138.858477,35.100716
仲見世商店街,商店街,AREA1,曜,大手町5丁目8-1,Otemachi 5 chome-8-1,,10,0,19,0,-1,-1,-1,-1,138.858256,35.101098
モスバーガー 富士急沼津店,ファーストフード店,AREA1,梨子,大手町3丁目2-1 富士急百貨店1階,Otemachi 3 chome-2-1 1F,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.860496,35.102001
セブンイレブン 伊豆・三津シーパラダイス前店,コンビニ,UCHIURA,梨子,内浦三津46,Uchiuramito 46,,0,0,24,0,-1,-1,-1,-1,138.897449,35.02191
駿陽荘 やま弥,旅館,NISHIURA,花丸,西浦平沢92-4,Nshiurahirasawa 92-4,C,9,30,17,0,-1,-1,-1,-1,138.860358,35.019506
東海バス沼津営業所,バス会社,AREA1,千歌,大手町1-1-3,Otemachi 1 chome 1-3,G,9,0,18,0,-1,-1,-1,-1,138.860933,35.102252
大瀬館,ホテル,NISHIURA,ルビィ,西浦江梨325-1,Nshiuraenashi 325-1,,8,0,18,0,-1,-1,-1,-1,138.786377,35.024143
グランマ,ベーカリー,AREA1,善子,上土町63,Agetsuchicho 63,C,10,0,19,0,-1,-1,-1,-1,138.858156,35.097576
びゅうお,展望台,AREA2,鞠莉,本字千本1905-27,Honsenbon 1905-27(구글 주소 누락),D,10,0,20,0,-1,-1,-1,-1,138.854507,35.081313
