게이머즈 누마즈,만화 상품점,AREA1,요시코,添地町72青秀ビル1階,Soechicho 72 1F,,11,0,20,0,-1,-1,-1,-1,138.856823,35.101589
야스다야 여관,여관,UCHIURA,치카,内浦三津19,Uchiuramito 19,,12,0,20,0,-1,-1,-1,-1,138.897566,35.020432
쇼게츠,카페,UCHIURA,하나마루,内浦88-36,Uchiura 88-36,BC,10,0,17,0,-1,-1,-1,-1,138.897981,35.022198
선샤인카페,카페,AREA1,다이아,大手町3-1-1,Otemachi 3 chome-1-1,,11,0,20,30,-1,-1,-1,-1,138.859688,35.102001
오션뷰후지미,호텔,NISHIURA,카난,西浦江梨993,Nishiuraenashi 993,,10,30,14,30,-1,-1,-1,-1,138.785859,35.024919
아와시마호텔,호텔,UCHIURA,마리,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.886772,35.035521
이즈미토씨파라다이스,해양테마파크,UCHIURA,요우,内浦長浜3-1,Uchiuranagahama 3-1,,9,0,17,0,-1,-1,-1,-1,138.89601,35.019516
산노우라안내소,관광안내소,UCHIURA,루비,内浦長浜83-124,Uchiuranagahama 83-124,,9,0,16,0,-1,-1,-1,-1,138.893409,35.017727
치도리관광기선,유람선,UCHIURA,리코,内浦三津43-7,Uchiuramito 43-7,,8,0,17,0,-1,-1,-1,-1,138.897769,35.021155
JA난슨 녹차관누마즈,농산물 판매점,AREA3,치카,下香貫上障子415-1,Shimokanukikamishoji 415-1,FG,9,0,16,0,-1,-1,-1,-1,138.869729,35.083423
아와시마 마린파크,해양테마파크,UCHIURA,카난,内浦重寺186,Uchiurashigedera 186,,9,30,17,0,-1,-1,-1,-1,138.893502,35.033091
츠지사진관,사진관,AREA1,요시코,上土町36,Agetsuchicho 36,C,9,30,19,0,-1,-1,-1,-1,138.857448,35.096954
보석&시계 이치가와,금은방,AREA1,다이아,上土町100-1,Agetsuchicho 100-1,C,10,0,19,30,-1,-1,-1,-1,138.858114,35.096569
하마츄,일식 정식점,AREA1,루비,上土町80,Agetsuchicho 80,A,11,30,22,0,15,0,17,0,138.858367,35.098096
여관 바다의집,여관,UCHIURA,마리,内浦三津42-3,Uchiuramito 42-3,,11,0,15,0,-1,-1,-1,-1,138.897683,35.020895
마루산 서점,서점,AREA1,하나마루,大手町5-3-13,Otemachi 5 chome-3-13,,10,0,19,0,-1,-1,-1,-1,138.858477,35.100716
나카미세 상점가,상점가,AREA1,요우,大手町5丁目8-1,Otemachi 5 chome-8-1,,10,0,19,0,-1,-1,-1,-1,138.858256,35.101098
모스버거 후지큐누마즈점,패스트푸드점,AREA1,리코,大手町3丁目2-1 富士急百貨店1階,Otemachi 3 chome-2-1 1F,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.860496,35.102001
세븐일레븐 미토씨점,편의점,UCHIURA,리코,内浦三津46,Uchiuramito 46,,0,0,24,0,-1,-1,-1,-1,138.897449,35.02191
슌요소 야마야,여관,NISHIURA,하나마루,西浦平沢92-4,Nshiurahirasawa 92-4,C,9,30,17,0,-1,-1,-1,-1,138.860358,35.019506
도카이버스 누마즈영업소,버스회사,AREA1,치카,大手町1-1-3,Otemachi 1 chome 1-3,G,9,0,18,0,-1,-1,-1,-1,138.860933,35.102252
오세관,호텔,NISHIURA,루비,西浦江梨325-1,Nshiuraenashi 325-1,,8,0,18,0,-1,-1,-1,-1,138.786377,35.024143
그랜마,제과점 ， 카페,AREA1,요시코,上土町63,Agetsuchicho 63,C,10,0,19,0,-1,-1,-1,-1,138.858156,35.097576
뷰오,전망대,AREA2,마리,本字千本1905-27,Honsenbon 1905-27(구글 주소 누락),D,10,0,20,0,-1,-1,-1,-1,138.854507,35.081313
오란다관,경양식점,AREA2,요우,下河原町1146-33,Shimogawaracho 1146-33,A,9,0,21,0,-1,-1,-1,-1,138.858081,35.090777
이즈나가오카역,철도역,OTHER,카난,伊豆の国市南条773-2 伊豆長岡駅,Izunokunishi nanjo773-2 izunagaoka.st,,7,0,19,0,-1,-1,-1,-1,138.947486,35.039801
이케스야,일식점,UCHIURA,다이아,内浦小海30-103,Uchiurakoumi 30-103,C,9,0,16,0,-1,-1,-1,-1,138.896216,35.026532
누마즈버거,패스트푸드점,AREA2,요시코,千本港町83-1,Senbonminatocho 83-1,,9,0,18,0,-1,-1,-1,-1,138.858158,35.083851
스시 이세마루 누마즈항,일식점,AREA2,카난,千本港町97,Senbonminatocho 97,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.857773,35.083532
누마즈항 우오에이,수산물 판매점,AREA2,하나마루,千本港町109,Senbonminatocho 109,,8,0,19,0,-1,-1,-1,-1,138.858551,35.083145
호사카,전통제과점,AREA1,다이아,大手町5-2-9,Otemachi 5 chome-2-9,,10,0,19,0,-1,-1,-1,-1,138.85865,35.101214
마루산 하비,완구점,AREA1,마리,上土町66,Agetsuchicho 66,,10,0,20,0,-1,-1,-1,-1,138.858155,35.097607
이시바시 프라자,종합쇼핑몰,AREA5,리코,高島本町1-5,Takashimahoncho-1-5,,10,0,20,0,-1,-1,-1,-1,138.857909,35.108282
우오가즈시 누마즈점,회전초밥집,AREA1,루비,大手町1-1-6 イーラde 3F,Otemachi 1 chome-1-6 3F,,11,0,21,30,-1,-1,-1,-1,138.858357,35.102191
누마즈역 앙트레,종합쇼핑몰,AREA1,요우,大手町1-1-1,Otemachi 1 chome-1-1 Numazu station,,9,0,20,0,-1,-1,-1,-1,138.860469,35.102647
마루카,농산물 판매점,UCHIURA,치카,内浦重須305-8,Uchiuraomos 305-8,,8,0,16,0,-1,-1,-1,-1,138.886972,35.017401
